Date,Price,Open,High,Low,Vol.,Change %
25/04/22,"2,967.00","2,967.00","2,967.00","2,967.00",,-1.23%
22/04/22,"3,004.00","3,004.00","3,004.00","3,004.00",,-1.41%
21/04/22,"3,047.00","3,047.00","3,047.00","3,047.00",,-1.30%
20/04/22,"3,087.00","3,087.00","3,087.00","3,087.00",,0.26%
19/04/22,"3,079.00","3,079.00","3,079.00","3,079.00",,1.22%
14/04/22,"3,042.00","3,042.00","3,042.00","3,042.00",,2.49%
13/04/22,"2,968.00","2,968.00","2,968.00","2,968.00",,3.70%
12/04/22,"2,862.00","2,862.00","2,862.00","2,862.00",,2.76%
11/04/22,"2,785.00","2,785.00","2,785.00","2,785.00",,0.29%
08/04/22,"2,777.00","2,777.00","2,777.00","2,777.00",,-0.04%
07/04/22,"2,778.00","2,778.00","2,778.00","2,778.00",,-3.14%
06/04/22,"2,868.00","2,868.00","2,868.00","2,868.00",,-2.81%
05/04/22,"2,951.00","2,951.00","2,951.00","2,951.00",,-2.12%
04/04/22,"3,015.00","3,015.00","3,015.00","3,015.00",,-1.89%
01/04/22,"3,073.00","3,073.00","3,073.00","3,073.00",,-2.16%
31/03/22,"3,141.00","3,141.00","3,141.00","3,141.00",,-2.94%
30/03/22,"3,236.00","3,236.00","3,236.00","3,236.00",,-3.03%
29/03/22,"3,337.00","3,337.00","3,337.00","3,337.00",,-2.31%
28/03/22,"3,416.00","3,416.00","3,416.00","3,416.00",,0.09%
25/03/22,"3,413.00","3,413.00","3,413.00","3,413.00",,1.01%
24/03/22,"3,379.00","3,379.00","3,379.00","3,379.00",,3.27%
23/03/22,"3,272.00","3,272.00","3,272.00","3,272.00",,5.18%
22/03/22,"3,111.00","3,111.00","3,111.00","3,111.00",,5.42%
21/03/22,"2,951.00","2,951.00","2,951.00","2,951.00",,2.68%
18/03/22,"2,874.00","2,874.00","2,874.00","2,874.00",,0.84%
17/03/22,"2,850.00","2,850.00","2,850.00","2,850.00",,0.11%
16/03/22,"2,847.00","2,847.00","2,847.00","2,847.00",,-3.36%
15/03/22,"2,946.00","2,946.00","2,946.00","2,946.00",,-4.72%
14/03/22,"3,092.00","3,092.00","3,092.00","3,092.00",,-2.98%
11/03/22,"3,187.00","3,187.00","3,187.00","3,187.00",,-1.42%
10/03/22,"3,233.00","3,233.00","3,233.00","3,233.00",,1.22%
09/03/22,"3,194.00","3,194.00","3,194.00","3,194.00",,5.03%
08/03/22,"3,041.00","3,041.00","3,041.00","3,041.00",,4.83%
07/03/22,"2,901.00","2,901.00","2,901.00","2,901.00",,4.17%
04/03/22,"2,785.00","2,785.00","2,785.00","2,785.00",,3.19%
03/03/22,"2,699.00","2,699.00","2,699.00","2,699.00",,2.47%
02/03/22,"2,634.00","2,634.00","2,634.00","2,634.00",,1.27%
01/03/22,"2,601.00","2,601.00","2,601.00","2,601.00",,0.08%
28/02/22,"2,599.00","2,599.00","2,599.00","2,599.00",,-2.22%
25/02/22,"2,658.00","2,658.00","2,658.00","2,658.00",,-1.15%
24/02/22,"2,689.00","2,689.00","2,689.00","2,689.00",,-0.37%
23/02/22,"2,699.00","2,699.00","2,699.00","2,699.00",,3.97%
22/02/22,"2,596.00","2,596.00","2,596.00","2,596.00",,6.35%
21/02/22,"2,441.00","2,441.00","2,441.00","2,441.00",,2.78%
18/02/22,"2,375.00","2,375.00","2,375.00","2,375.00",,0.42%
17/02/22,"2,365.00","2,365.00","2,365.00","2,365.00",,-0.42%
16/02/22,"2,375.00","2,375.00","2,375.00","2,375.00",,-1.04%
15/02/22,"2,400.00","2,400.00","2,400.00","2,400.00",,-0.74%
14/02/22,"2,418.00","2,418.00","2,418.00","2,418.00",,0.62%
11/02/22,"2,403.00","2,403.00","2,403.00","2,403.00",,3.00%
10/02/22,"2,333.00","2,333.00","2,333.00","2,333.00",,8.36%
09/02/22,"2,153.00","2,153.00","2,153.00","2,153.00",,9.23%
08/02/22,"1,971.00","1,971.00","1,971.00","1,971.00",,6.25%
07/02/22,"1,855.00","1,855.00","1,855.00","1,855.00",,3.29%
04/02/22,"1,796.00","1,796.00","1,796.00","1,796.00",,1.41%
03/02/22,"1,771.00","1,771.00","1,771.00","1,771.00",,0.34%
02/02/22,"1,765.00","1,765.00","1,765.00","1,765.00",,-2.54%
01/02/22,"1,811.00","1,811.00","1,811.00","1,811.00",,-0.93%
31/01/22,"1,828.00","1,828.00","1,828.00","1,828.00",,-0.65%
28/01/22,"1,840.00","1,840.00","1,840.00","1,840.00",,-0.33%
27/01/22,"1,846.00","1,846.00","1,846.00","1,846.00",,-3.55%
26/01/22,"1,914.00","1,914.00","1,914.00","1,914.00",,-3.72%
25/01/22,"1,988.00","1,988.00","1,988.00","1,988.00",,-1.24%
24/01/22,"2,013.00","2,013.00","2,013.00","2,013.00",,0.15%
21/01/22,"2,010.00","2,010.00","2,010.00","2,010.00",,-0.69%
20/01/22,"2,024.00","2,024.00","2,024.00","2,024.00",,-3.39%
19/01/22,"2,095.00","2,095.00","2,095.00","2,095.00",,-5.76%
18/01/22,"2,223.00","2,223.00","2,223.00","2,223.00",,-4.43%
17/01/22,"2,326.00","2,326.00","2,326.00","2,326.00",,-2.06%
14/01/22,"2,375.00","2,375.00","2,375.00","2,375.00",,-3.14%
13/01/22,"2,452.00","2,452.00","2,452.00","2,452.00",,-4.41%
12/01/22,"2,565.00","2,565.00","2,565.00","2,565.00",,-5.52%
11/01/22,"2,715.00","2,715.00","2,715.00","2,715.00",,-4.70%
10/01/22,"2,849.00","2,849.00","2,849.00","2,849.00",,-3.65%
07/01/22,"2,957.00","2,957.00","2,957.00","2,957.00",,-1.86%
06/01/22,"3,013.00","3,013.00","3,013.00","3,013.00",,0.33%
05/01/22,"3,003.00","3,003.00","3,003.00","3,003.00",,4.49%
04/01/22,"2,874.00","2,874.00","2,874.00","2,874.00",,11.70%
24/12/21,"2,573.00","2,573.00","2,573.00","2,573.00",,2.31%
23/12/21,"2,515.00","2,515.00","2,515.00","2,515.00",,5.49%
22/12/21,"2,384.00","2,384.00","2,384.00","2,384.00",,3.16%
21/12/21,"2,311.00","2,311.00","2,311.00","2,311.00",,-1.91%
20/12/21,"2,356.00","2,356.00","2,356.00","2,356.00",,-3.60%
17/12/21,"2,444.00","2,444.00","2,444.00","2,444.00",,-6.93%
16/12/21,"2,626.00","2,626.00","2,626.00","2,626.00",,-4.30%
15/12/21,"2,744.00","2,744.00","2,744.00","2,744.00",,-4.69%
14/12/21,"2,879.00","2,879.00","2,879.00","2,879.00",,-3.87%
13/12/21,"2,995.00","2,995.00","2,995.00","2,995.00",,-2.38%
10/12/21,"3,068.00","3,068.00","3,068.00","3,068.00",,-2.45%
09/12/21,"3,145.00","3,145.00","3,145.00","3,145.00",,-2.36%
08/12/21,"3,221.00","3,221.00","3,221.00","3,221.00",,-0.98%
07/12/21,"3,253.00","3,253.00","3,253.00","3,253.00",,1.28%
06/12/21,"3,212.00","3,212.00","3,212.00","3,212.00",,2.69%
03/12/21,"3,128.00","3,128.00","3,128.00","3,128.00",,3.23%
02/12/21,"3,030.00","3,030.00","3,030.00","3,030.00",,4.59%
01/12/21,"2,897.00","2,897.00","2,897.00","2,897.00",,3.06%
30/11/21,"2,811.00","2,811.00","2,811.00","2,811.00",,2.78%
29/11/21,"2,735.00","2,735.00","2,735.00","2,735.00",,4.35%
26/11/21,"2,621.00","2,621.00","2,621.00","2,621.00",,5.30%
25/11/21,"2,489.00","2,489.00","2,489.00","2,489.00",,4.67%
24/11/21,"2,378.00","2,378.00","2,378.00","2,378.00",,1.93%
23/11/21,"2,333.00","2,333.00","2,333.00","2,333.00",,1.83%
22/11/21,"2,291.00","2,291.00","2,291.00","2,291.00",,0.39%
19/11/21,"2,282.00","2,282.00","2,282.00","2,282.00",,-2.31%
18/11/21,"2,336.00","2,336.00","2,336.00","2,336.00",,-5.62%
17/11/21,"2,475.00","2,475.00","2,475.00","2,475.00",,-7.48%
16/11/21,"2,675.00","2,675.00","2,675.00","2,675.00",,-6.14%
15/11/21,"2,850.00","2,850.00","2,850.00","2,850.00",,-2.73%
12/11/21,"2,930.00","2,930.00","2,930.00","2,930.00",,-3.17%
11/11/21,"3,026.00","3,026.00","3,026.00","3,026.00",,-1.72%
10/11/21,"3,079.00","3,079.00","3,079.00","3,079.00",,-0.16%
09/11/21,"3,084.00","3,084.00","3,084.00","3,084.00",,0.69%
08/11/21,"3,063.00","3,063.00","3,063.00","3,063.00",,-0.26%
05/11/21,"3,071.00","3,071.00","3,071.00","3,071.00",,-3.00%
04/11/21,"3,166.00","3,166.00","3,166.00","3,166.00",,-5.63%
03/11/21,"3,355.00","3,355.00","3,355.00","3,355.00",,-7.93%
02/11/21,"3,644.00","3,644.00","3,644.00","3,644.00",,-4.48%
01/11/21,"3,815.00","3,815.00","3,815.00","3,815.00",,-2.08%
29/10/21,"3,896.00","3,896.00","3,896.00","3,896.00",,-1.74%
28/10/21,"3,965.00","3,965.00","3,965.00","3,965.00",,-2.89%
27/10/21,"4,083.00","4,083.00","4,083.00","4,083.00",,-3.50%
26/10/21,"4,231.00","4,231.00","4,231.00","4,231.00",,-2.24%
25/10/21,"4,328.00","4,328.00","4,328.00","4,328.00",,0.02%
22/10/21,"4,327.00","4,327.00","4,327.00","4,327.00",,0.53%
21/10/21,"4,304.00","4,304.00","4,304.00","4,304.00",,1.61%
20/10/21,"4,236.00","4,236.00","4,236.00","4,236.00",,1.68%
19/10/21,"4,166.00","4,166.00","4,166.00","4,166.00",,1.83%
18/10/21,"4,091.00","4,091.00","4,091.00","4,091.00",,0.64%
15/10/21,"4,065.00","4,065.00","4,065.00","4,065.00",,1.04%
14/10/21,"4,023.00","4,023.00","4,023.00","4,023.00",,1.64%
13/10/21,"3,958.00","3,958.00","3,958.00","3,958.00",,1.33%
12/10/21,"3,906.00","3,906.00","3,906.00","3,906.00",,0.75%
11/10/21,"3,877.00","3,877.00","3,877.00","3,877.00",,0.28%
08/10/21,"3,866.00","3,866.00","3,866.00","3,866.00",,-0.46%
07/10/21,"3,884.00","3,884.00","3,884.00","3,884.00",,-0.49%
06/10/21,"3,903.00","3,903.00","3,903.00","3,903.00",,-0.38%
05/10/21,"3,918.00","3,918.00","3,918.00","3,918.00",,-1.09%
