"Date","Price","Open","High","Low","Vol.","Change %"
"28-06-2021","1,518.00","1,518.00","1,518.00","1,518.00","","1.00%"
"25-06-2021","1,503.00","1,503.00","1,503.00","1,503.00","","1.83%"
"24-06-2021","1,476.00","1,476.00","1,476.00","1,476.00","","1.44%"
"23-06-2021","1,455.00","1,455.00","1,455.00","1,455.00","","1.39%"
"22-06-2021","1,435.00","1,435.00","1,435.00","1,435.00","","1.27%"
"21-06-2021","1,417.00","1,417.00","1,417.00","1,417.00","","1.36%"
"18-06-2021","1,398.00","1,398.00","1,398.00","1,398.00","","0.72%"
"17-06-2021","1,388.00","1,388.00","1,388.00","1,388.00","","0.80%"
"16-06-2021","1,377.00","1,377.00","1,377.00","1,377.00","","0.51%"
"15-06-2021","1,370.00","1,370.00","1,370.00","1,370.00","","0.51%"
"14-06-2021","1,363.00","1,363.00","1,363.00","1,363.00","","0.15%"
"11-06-2021","1,361.00","1,361.00","1,361.00","1,361.00","","0.44%"
"10-06-2021","1,355.00","1,355.00","1,355.00","1,355.00","","0.89%"
"09-06-2021","1,343.00","1,343.00","1,343.00","1,343.00","","0.52%"
"08-06-2021","1,336.00","1,336.00","1,336.00","1,336.00","","0.00%"
"07-06-2021","1,336.00","1,336.00","1,336.00","1,336.00","","-0.07%"
"04-06-2021","1,337.00","1,337.00","1,337.00","1,337.00","","0.07%"
"03-06-2021","1,336.00","1,336.00","1,336.00","1,336.00","","-0.15%"
"02-06-2021","1,338.00","1,338.00","1,338.00","1,338.00","","-0.07%"
"01-06-2021","1,339.00","1,339.00","1,339.00","1,339.00","","-0.30%"
"28-05-2021","1,343.00","1,343.00","1,343.00","1,343.00","","0.15%"
"27-05-2021","1,341.00","1,341.00","1,341.00","1,341.00","","0.45%"
"26-05-2021","1,335.00","1,335.00","1,335.00","1,335.00","","0.60%"
"25-05-2021","1,327.00","1,327.00","1,327.00","1,327.00","","0.53%"
"24-05-2021","1,320.00","1,320.00","1,320.00","1,320.00","","0.23%"
"21-05-2021","1,317.00","1,317.00","1,317.00","1,317.00","","0.53%"
"20-05-2021","1,310.00","1,310.00","1,310.00","1,310.00","","0.92%"
"19-05-2021","1,298.00","1,298.00","1,298.00","1,298.00","","0.70%"
"18-05-2021","1,289.00","1,289.00","1,289.00","1,289.00","","0.86%"
