"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2017","3,848.00","3,848.00","3,848.00","3,848.00","","2.89%"
"11/29/2017","3,740.00","3,740.00","3,740.00","3,740.00","","2.21%"
"11/28/2017","3,659.00","3,659.00","3,659.00","3,659.00","","3.36%"
"11/27/2017","3,540.00","3,540.00","3,540.00","3,540.00","","2.52%"
"11/24/2017","3,453.00","3,453.00","3,453.00","3,453.00","","0.96%"
"11/23/2017","3,420.00","3,420.00","3,420.00","3,420.00","","3.70%"
"11/22/2017","3,298.00","3,298.00","3,298.00","3,298.00","","1.32%"
"11/21/2017","3,255.00","3,255.00","3,255.00","3,255.00","","1.28%"
"11/20/2017","3,214.00","3,214.00","3,214.00","3,214.00","","1.93%"
"11/17/2017","3,153.00","3,153.00","3,153.00","3,153.00","","2.24%"
"11/16/2017","3,084.00","3,084.00","3,084.00","3,084.00","","-0.77%"
"11/15/2017","3,108.00","3,108.00","3,108.00","3,108.00","","-3.15%"
"11/14/2017","3,209.00","3,209.00","3,209.00","3,209.00","","-4.24%"
"11/13/2017","3,351.00","3,351.00","3,351.00","3,351.00","","-0.27%"
"11/10/2017","3,360.00","3,360.00","3,360.00","3,360.00","","0.33%"
"11/09/2017","3,349.00","3,349.00","3,349.00","3,349.00","","2.76%"
"11/08/2017","3,259.00","3,259.00","3,259.00","3,259.00","","5.10%"
"11/07/2017","3,101.00","3,101.00","3,101.00","3,101.00","","1.87%"
"11/06/2017","3,044.00","3,044.00","3,044.00","3,044.00","","0.26%"
"11/03/2017","3,036.00","3,036.00","3,036.00","3,036.00","","-0.75%"
"11/02/2017","3,059.00","3,059.00","3,059.00","3,059.00","","-2.49%"
"11/01/2017","3,137.00","3,137.00","3,137.00","3,137.00","","-2.55%"
"10/31/2017","3,219.00","3,219.00","3,219.00","3,219.00","","0.06%"
"10/30/2017","3,217.00","3,217.00","3,217.00","3,217.00","","-0.09%"
"10/27/2017","3,220.00","3,220.00","3,220.00","3,220.00","","1.19%"
"10/26/2017","3,182.00","3,182.00","3,182.00","3,182.00","","-0.62%"
"10/25/2017","3,202.00","3,202.00","3,202.00","3,202.00","","0.00%"
"10/24/2017","3,202.00","3,202.00","3,202.00","3,202.00","","0.47%"
"10/23/2017","3,187.00","3,187.00","3,187.00","3,187.00","","1.34%"
"10/20/2017","3,145.00","3,145.00","3,145.00","3,145.00","","-1.29%"
"10/19/2017","3,186.00","3,186.00","3,186.00","3,186.00","","1.66%"
"10/18/2017","3,134.00","3,134.00","3,134.00","3,134.00","","1.79%"
"10/17/2017","3,079.00","3,079.00","3,079.00","3,079.00","","3.32%"
"10/16/2017","2,980.00","2,980.00","2,980.00","2,980.00","","3.80%"
"10/13/2017","2,871.00","2,871.00","2,871.00","2,871.00","","0.42%"
"10/12/2017","2,859.00","2,859.00","2,859.00","2,859.00","","-0.80%"
"10/11/2017","2,882.00","2,882.00","2,882.00","2,882.00","","-0.41%"
"10/10/2017","2,894.00","2,894.00","2,894.00","2,894.00","","-0.41%"
"10/09/2017","2,906.00","2,906.00","2,906.00","2,906.00","","-0.79%"
"10/06/2017","2,929.00","2,929.00","2,929.00","2,929.00","","1.42%"
"10/05/2017","2,888.00","2,888.00","2,888.00","2,888.00","","8.29%"
"10/04/2017","2,667.00","2,667.00","2,667.00","2,667.00","","1.87%"
"10/03/2017","2,618.00","2,618.00","2,618.00","2,618.00","","-1.98%"
"10/02/2017","2,671.00","2,671.00","2,671.00","2,671.00","","-2.45%"
"09/29/2017","2,738.00","2,738.00","2,738.00","2,738.00","","-3.05%"
"09/28/2017","2,824.00","2,824.00","2,824.00","2,824.00","","-4.01%"
"09/27/2017","2,942.00","2,942.00","2,942.00","2,942.00","","-5.13%"
"09/26/2017","3,101.00","3,101.00","3,101.00","3,101.00","","-2.27%"
"09/25/2017","3,173.00","3,173.00","3,173.00","3,173.00","","0.83%"
"09/22/2017","3,147.00","3,147.00","3,147.00","3,147.00","","6.75%"
"09/21/2017","2,948.00","2,948.00","2,948.00","2,948.00","","3.04%"
"09/20/2017","2,861.00","2,861.00","2,861.00","2,861.00","","5.07%"
"09/19/2017","2,723.00","2,723.00","2,723.00","2,723.00","","1.57%"
"09/18/2017","2,681.00","2,681.00","2,681.00","2,681.00","","-0.15%"
"09/15/2017","2,685.00","2,685.00","2,685.00","2,685.00","","1.63%"
"09/14/2017","2,642.00","2,642.00","2,642.00","2,642.00","","0.53%"
"09/13/2017","2,628.00","2,628.00","2,628.00","2,628.00","","-3.52%"
"09/12/2017","2,724.00","2,724.00","2,724.00","2,724.00","","-3.16%"
"09/11/2017","2,813.00","2,813.00","2,813.00","2,813.00","","1.66%"
"09/08/2017","2,767.00","2,767.00","2,767.00","2,767.00","","5.85%"
"09/07/2017","2,614.00","2,614.00","2,614.00","2,614.00","","7.22%"
"09/06/2017","2,438.00","2,438.00","2,438.00","2,438.00","","5.40%"
"09/05/2017","2,313.00","2,313.00","2,313.00","2,313.00","","3.12%"
"09/04/2017","2,243.00","2,243.00","2,243.00","2,243.00","","-0.93%"
"09/01/2017","2,264.00","2,264.00","2,264.00","2,264.00","","-1.26%"
"08/31/2017","2,293.00","2,293.00","2,293.00","2,293.00","","0.48%"
"08/30/2017","2,282.00","2,282.00","2,282.00","2,282.00","","-4.16%"
"08/29/2017","2,381.00","2,381.00","2,381.00","2,381.00","","-1.04%"
"08/25/2017","2,406.00","2,406.00","2,406.00","2,406.00","","3.13%"
"08/24/2017","2,333.00","2,333.00","2,333.00","2,333.00","","-2.06%"
"08/23/2017","2,382.00","2,382.00","2,382.00","2,382.00","","-4.30%"
"08/22/2017","2,489.00","2,489.00","2,489.00","2,489.00","","-3.68%"
"08/21/2017","2,584.00","2,584.00","2,584.00","2,584.00","","0.39%"
"08/18/2017","2,574.00","2,574.00","2,574.00","2,574.00","","1.26%"
"08/17/2017","2,542.00","2,542.00","2,542.00","2,542.00","","9.38%"
"08/16/2017","2,324.00","2,324.00","2,324.00","2,324.00","","7.84%"
"08/15/2017","2,155.00","2,155.00","2,155.00","2,155.00","","2.96%"
"08/14/2017","2,093.00","2,093.00","2,093.00","2,093.00","","3.97%"
"08/11/2017","2,013.00","2,013.00","2,013.00","2,013.00","","9.58%"
"08/10/2017","1,837.00","1,837.00","1,837.00","1,837.00","","7.93%"
"08/09/2017","1,702.00","1,702.00","1,702.00","1,702.00","","2.59%"
"08/08/2017","1,659.00","1,659.00","1,659.00","1,659.00","","0.24%"
"08/07/2017","1,655.00","1,655.00","1,655.00","1,655.00","","1.10%"
"08/04/2017","1,637.00","1,637.00","1,637.00","1,637.00","","2.18%"
"08/03/2017","1,602.00","1,602.00","1,602.00","1,602.00","","8.61%"
"08/02/2017","1,475.00","1,475.00","1,475.00","1,475.00","","10.82%"
"08/01/2017","1,331.00","1,331.00","1,331.00","1,331.00","","8.65%"
"07/31/2017","1,225.00","1,225.00","1,225.00","1,225.00","","7.55%"
"07/28/2017","1,139.00","1,139.00","1,139.00","1,139.00","","0.09%"
"07/27/2017","1,138.00","1,138.00","1,138.00","1,138.00","","-5.64%"
"07/26/2017","1,206.00","1,206.00","1,206.00","1,206.00","","-1.23%"
"07/25/2017","1,221.00","1,221.00","1,221.00","1,221.00","","4.27%"
"07/24/2017","1,171.00","1,171.00","1,171.00","1,171.00","","1.47%"
"07/21/2017","1,154.00","1,154.00","1,154.00","1,154.00","","5.58%"
"07/20/2017","1,093.00","1,093.00","1,093.00","1,093.00","","6.32%"
"07/19/2017","1,028.00","1,028.00","1,028.00","1,028.00","","4.47%"
"07/18/2017","984.00","984.00","984.00","984.00","","5.47%"
